City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,21.42,85,100,2.6,US,1717649681
1,saipan,15.1355,145.701,32.39,62,40,7.72,MP,1717649681
2,port-aux-francais,-49.35,70.2167,2.25,74,24,18.42,TF,1717649682
3,queenstown,-31.8976,26.8753,6.01,54,0,2.66,ZA,1717649682
4,invercargill,-46.4,168.35,11.12,97,100,0.45,NZ,1717649637
5,baturaja,-4.1333,104.1667,32.68,55,81,1.36,ID,1717649682
6,nar'yan-mar,67.6713,53.087,5.06,86,96,4.47,RU,1717649682
7,hamilton,39.1834,-84.5333,22.47,94,75,3.09,US,1717649529
8,adamstown,-25.066,-130.1015,22.15,77,34,5.59,PN,1717649682
9,waitangi,-43.9535,-176.5597,11.57,87,100,6.71,NZ,1717649682
10,sotouboua,8.5667,0.9833,21.95,89,100,0.21,TG,1717649683
11,skuodas,56.2667,21.5333,15.92,86,100,3.89,LT,1717649683
12,papatowai,-46.5619,169.4708,10.03,90,99,0.69,NZ,1717649683
13,changqing,36.5575,116.7272,32.2,23,39,4.22,CN,1717649683
14,mossel bay,-34.1831,22.146,11.96,64,2,5.57,ZA,1717649683
15,port alfred,-33.5906,26.891,15.21,49,0,4.17,ZA,1717649683
16,longyearbyen,78.2186,15.6401,2.91,70,0,1.54,SJ,1717649683
17,bredasdorp,-34.5322,20.0403,11.78,88,77,4.77,ZA,1717649684
18,igarka,67.4667,86.5833,0.57,82,84,1.79,RU,1717649684
19,kodiak,57.79,-152.4072,8.73,81,100,4.12,US,1717649684
20,thompson,55.7435,-97.8558,5.09,100,100,5.14,CA,1717649684
21,la union,-5.4,-80.75,20.35,77,5,4.54,PE,1717649684
22,nemuro,43.3236,145.575,8.51,77,81,3.43,JP,1717649684
23,aykhal,66.0,111.5,9.49,50,100,11.14,RU,1717649684
24,avarua,-21.2078,-159.775,23.03,73,40,1.03,CK,1717649684
25,tarlungeni,45.6333,25.75,17.11,78,41,1.17,RO,1717649685
26,punta arenas,-53.15,-70.9167,3.06,75,75,7.2,CL,1717649685
27,quesnel,52.9999,-122.5029,11.28,76,100,1.54,CA,1717649685
28,ilulissat,69.2167,-51.1,2.01,87,100,0.0,GL,1717649685
